category,code
Braxton Brothers,851
Braxton Cook,852
Bread,853
Breakestra,854
Breaking Benjamin,855
Brenda Holloway,856
Brenda Russell,857
Brennan Savage,858
Brent Faiyaz,859
Brett Eldredge,860
Brett Kissel,861
Brett Young,862
Brewer & Shipley,863
Brian Bennett,864
Brian Blade & The Fellowship Band,865
Brian Bromberg,866
Brian Culbertson,867
Brian Simpson,868
Brian Tarquin,869
Brian the Sun,870
Brick,871
Brick + Mortar,872
Bright Eyes,873
Brillz,874
Bring Me The Horizon,875
Britney Spears,876
Britt Nicole,877
Bro Safari,878
Broadcast,879
Broken Bells,880
Broken Social Scene,881
Bronski Beat,882
Brooklyn Funk Essentials,883
Brooks & Dunn,884
Brotha Lynch Hung,885
Brother Ali,886
Brother Dege,887
Brothers Osborne,888
Brous One,889
Brown Boy,890
Brownie McGhee,891
Bruce Faulconer,892
Bruce Hornsby,893
Bruce Katz Band,894
Bruce Lamont,895
Bruce Springsteen,896
Bryan Adams,897
Bryan Ferry,898
Bryan White,899
Bryce Dessner,900
Bryce Fox,901
Bryce Janey,902
Bryce Vine,903
Bryn Terfel,904
Bryson Tiller,905
Bubba Sparxxx,906
Buck Owens,907
Buckcherry,908
Buckethead,909
Bucky Covington,910
Bud Powell,911
Buddy,912
Buddy Brown,913
Buddy Guy,914
Buddy Holly,915
Buddy Jewell,916
Buddy Miller,917
Buddy Whittington,918
Buena Vista Social Club,919
Buffalo Fuzz,920
Buffalo Killers,921
Buffalo Springfield,922
Bugge Wesseltoft,923
Bugseed,924
Bugzy Malone,925
Building 429,926
Built To Spill,927
Buku,928
Bull Moose Jackson,929
Bullet For My Valentine,930
Bulova,931
Bun B,932
Bunbury,933
Bunny Wailer,934
Burial,935
Burna Boy,936
Busdriver,937
Bush,938
Busta Rhymes,939
Butcher Brown,940
Buttechno,941
Butthole Surfers,942
Buzzcocks,943
BØRNS,944
Béla Bartók,945
Béla Fleck and the Flecktones,946
C-Kan,947
C-Mob,948
C.W. McCall,949
C.W. Stoneking,950
CASTLEBEAT,951
CHiCO,952
CJ Solar,953
CLOVES,954
COIN,955
CRUISR,956
CSS,957
CYNE,958
CZARFACE,959
Ca$h Out,960
Cab Calloway,961
Cacophony,962
Cactus,963
Cadet,964
Cady Groves,965
Cafe Jazz Deluxe,966
Café Tacvba,967
Cage The Elephant,968
Caifanes,969
Cain's Offering,970
Caitlin & Will,971
Caitlyn Smith,972
Cake,973
Cal Smith,974
Cal Tjader,975
Calboy,976
Cale Dodds,977
Caleborate,978
CalenRaps,979
Caligula's Horse,980
Call Me Karizma,981
Calle 13,982
Caloncho,983
Cam,984
Cam Meekins,985
Cameo,986
Camille Saint-Saëns,987
Camp Lo,988
Camper Van Beethoven,989
Cam’ron,990
Can 7,991
Can't Swim,992
Canaan Smith,993
Candiria,994
Candlebox,995
Canesecco,996
Canned Heat,997
Cannonball Adderley,998
Canserbero,999
Canson,1000
Cantoma,1001
Capcom Sound Team,1002
Capital Cities,1003
Capstan,1004
Captain & Tennille,1005
Car Bomb,1006
Car Seat Headrest,1007
Caravan Gypsy Swing Ensemble,1008
Caravan Palace,1009
Carbon Based Lifeforms,1010
Cardi B,1011
Caribou,1012
Carl Ditters von Dittersdorf,1013
Carl Maria von Weber,1014
Carl Nielsen,1015
Carl Orff,1016
Carl Philipp Emanuel Bach,1017
Carl Stamitz,1018
Carla Thomas,1019
Carlo Bergonzi,1020
Carlo Domeniconi,1021
Carlo Gesualdo,1022
Carlos Bonell,1023
Carlos Gardel,1024
Carlos Guastavino,1025
Carlos Santana,1026
Carly Pearce,1027
Carly Simon,1028
Carnage,1029
Caro Emerald,1030
Carole King,1031
Carolina Liar,1032
Caroline Shaw,1033
Carolyn Wonderland,1034
Carpenters,1035
Carrie Underwood,1036
Cartel De Santa,1037
Carter Winter,1038
Cary Morin,1039
Casa De Leones,1040
Casanova,1041
Cascada,1042
Case,1043
Casey Daniels Band,1044
Casey Donahew,1045
Casey James,1046
Cash Campbell,1047
Casper Magico,1048
Cass McCombs,1049
Cassadee Pope,1050
Cassandra Wilson,1051
Cassius,1052
Casting Crowns,1053
Castlecomer,1054
Cat Power,1055
Catfish and the Bottlemen,1056
Catherine McGrath,1057
Catherine Russell,1058
Cautious Clay,1059
Caye,1060
Caylee Hammack,1061
Cazzu,1062
